source_endpoint,source_doc_id,field,official_chinese,tushare_type,coverage_status,unit_category,official_doc_path
income,33,adj_lossgain,调整以前年度损益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,admin_exp,减:管理费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,amodcost_fin_assets,以摊余成本计量的金融资产终止确认收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,ass_invest_income,其中:对联营企业和合营企业的投资收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,asset_disp_income,资产处置收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,assets_impair_loss,减:资产减值损失,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,basic_eps,基本每股收益,float,mapped,price,.refs/tushare-docs/33.md
income,33,biz_tax_surchg,减:营业税金及附加,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,capit_comstock_div,转作股本的普通股股利,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,comm_exp,减:手续费及佣金支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,comm_income,手续费及佣金收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,compens_payout,赔付总支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,compens_payout_refu,减:摊回赔付支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,compr_inc_attr_m_s,归属于少数股东的综合收益总额,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,compr_inc_attr_p,归属于母公司(或股东)的综合收益总额,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,comshare_payable_dvd,应付普通股股利,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,continued_net_profit,持续经营净利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,credit_impa_loss,信用减值损失,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,diluted_eps,稀释每股收益,float,mapped,price,.refs/tushare-docs/33.md
income,33,distable_profit,可分配利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,distr_profit_shrhder,可供股东分配的利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,div_payt,保户红利支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,ebit,息税前利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,ebitda,息税折旧摊销前利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,end_net_profit,终止经营净利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,fin_exp,减:财务费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,fin_exp_int_exp,财务费用:利息费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,fin_exp_int_inc,财务费用:利息收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,forex_gain,加:汇兑净收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,fv_value_chg_gain,加:公允价值变动净收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,income_tax,所得税费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,insur_reser_refu,减:摊回保险责任准备金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,insurance_exp,保险业务支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,int_exp,减:利息支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,int_income,利息收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,invest_income,加:投资净收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,minority_gain,少数股东损益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_asset_mg_income,受托客户资产管理业务净收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_commis_income,手续费及佣金净收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_income,净利润(含少数股东损益),float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_income_attr_p,净利润(不含少数股东损益),float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_oth_b_income,加:其他业务净收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_oth_income,其他经营净收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_sec_tb_income,代理买卖证券业务净收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,n_sec_uw_income,证券承销业务净收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,nca_disploss,其中:减:非流动资产处置净损失,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,net_after_nr_lp_correct,扣除非经常性损益后的净利润（更正前）,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,net_expo_hedging_benefits,净敞口套期收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,non_oper_exp,减:营业外支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,non_oper_income,加:营业外收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,oper_cost,减:营业成本,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,oper_exp,营业支出,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,operate_profit,营业利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,oth_b_income,其他业务收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,oth_compr_income,其他综合收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,oth_impair_loss_assets,其他资产减值损失,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,oth_income,其他收益,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,other_bus_cost,其他业务成本,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,out_prem,减:分出保费,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,prem_earned,已赚保费,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,prem_income,保险业务收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,prem_refund,退保金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,prfshare_payable_dvd,应付优先股股利,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,rd_exp,研发费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,reins_cost_refund,减:摊回分保费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,reins_exp,分保费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,reins_income,其中:分保费收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,reser_insur_liab,提取保险责任准备金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,revenue,营业收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,sell_exp,减:销售费用,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,t_compr_income,综合收益总额,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,total_cogs,营业总成本,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,total_opcost,营业总成本（二）,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,total_profit,利润总额,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,total_revenue,营业总收入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,transfer_housing_imprest,住房周转金转入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,transfer_oth,其他转入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,transfer_surplus_rese,盈余公积转入,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,undist_profit,年初未分配利润,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,une_prem_reser,提取未到期责任准备金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,withdra_biz_devfund,提取企业发展基金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,withdra_legal_pubfund,提取法定公益金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,withdra_legal_surplus,提取法定盈余公积,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,withdra_oth_ersu,提取任意盈余公积金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,withdra_rese_fund,提取储备基金,float,mapped,amount_cny,.refs/tushare-docs/33.md
income,33,workers_welfare,职工奖金福利,float,mapped,amount_cny,.refs/tushare-docs/33.md
balancesheet,36,acc_exp,预提费用,float,mapped,amount_cny,.refs/tushare-docs/36.md
balancesheet,36,acc_receivable,应收款项,float,mapped,amount_cny,.refs/tushare-docs/36.md
balancesheet,36,accounts_pay,应付票据及应付账款,float,mapped,amount_cny,.refs/tushare-docs/36.md
balancesheet,36,accounts_receiv,应收账款,float,mapped,amount_cny,.refs/tushare-docs/36.md
balancesheet,36,accounts_receiv_bill,应收票据及应收账款,float,mapped,amount_cny,.refs/tushare-docs/36.md
balancesheet,36,acct_payable,应付账款,float,mapped,amount_cny,.refs/tushare-docs/36.md
